,0
2020-09-10,-0.02389656707922483
2020-09-11,0.01942542691044835
2020-09-14,0.01113923104856962
2020-09-15,0.005792613276766501
2020-09-16,-0.0027493279593331366
2020-09-17,0.011553198644065565
2020-09-18,0.013137887049552432
2020-09-21,-0.0015042732044435736
2020-09-22,-0.014229503152390799
2020-09-23,0.004860340014258169
2020-09-24,-0.01805486633394593
2020-09-25,-0.004698323110230773
2020-09-28,-0.01191339077783804
2020-09-29,0.009130736464929567
2020-09-30,-0.001774870281293861
2020-10-09,0.02874209455706156
2020-10-12,0.02737396912565604
2020-10-13,-0.0013828181119051042
2020-10-14,-0.0072338038759608425
2020-10-15,-0.004337797484383232
2020-10-16,0.0025325279452059757
2020-10-19,-0.0020441878545260916
2020-10-20,0.004054858205143841
