date,cumulative_return,daily_return
2021-11-04,57.6,0.5550947489312952
2021-11-05,55.82,-1.1294416243654792
2021-11-08,57.25,0.9177255807983453
2021-11-09,58.74,0.9475357710651888
2021-11-10,59.35,0.3842761748771517
2021-11-11,61.52,1.361782240351439
2021-11-12,61.19,-0.20430906389303782
2021-11-15,62.11,0.5707550096159864
2021-11-16,60.46,-1.0178274011473643
2021-11-17,63.75,2.0503552287174376
2021-11-18,63.81,0.03664122137405634
2021-11-19,66.77,1.8069714913619306
2021-11-22,67.87,0.6595910535468041
2021-11-23,69.36,0.887591588729375
2021-11-24,70.15,0.46646197449220494
2021-11-25,69.91,-0.14105201292976544
2021-11-26,69.6,-0.1824495321052333
2021-11-29,69.16,-0.25943396226414395
2021-11-30,70.73,0.9281153937100939
2021-12-01,73.29,1.4994435658642447
2021-12-02,72.36,-0.536672629695889
2021-12-03,73.56,0.6962172197725769
2021-12-06,71.41,-1.2387646923254225
2021-12-07,70.15,-0.7350796336269783
2021-12-08,71.43,0.7522774022921119
2021-12-09,71.81,0.22166481945984362
2021-12-10,72.72,0.5296548512891963
2021-12-13,72.33,-0.22579898100971718
2021-12-14,73.02,0.4003945917715912
2021-12-15,73.37,0.20228875274534985
2021-12-16,74.61,0.7152333160292956
2021-12-17,73.52,-0.6242483248382169
2021-12-20,71.91,-0.9278469340709861
2021-12-21,74.67,1.6054912454191106
2021-12-22,74.95,0.16030228430754523
2021-12-23,73.31,-0.9374106887682254
2021-12-24,70.16,-1.8175523628180645
2021-12-27,70.63,0.2762106252938379
2021-12-28,72.67,1.1955693606048312
2021-12-29,72.95,0.1621590316789101
2021-12-30,73.78,0.4799074877132048
2021-12-31,75.66,1.0818275981125502
2022-01-04,77.15,0.8482295343276824
2022-01-05,73.69,-1.9531470505221638
2022-01-06,74.79,0.633312222925908
2022-01-07,71.32,-1.9852394301733467
2022-01-10,71.71,0.22764417464393727
2022-01-11,69.64,-1.205520936462623
2022-01-12,72.63,1.7625560009431718
2022-01-13,70.13,-1.4481839772924832
2022-01-14,69.77,-0.21160289190618187
2022-01-17,72.51,1.6139482829710783
2022-01-18,71.18,-0.7709697988522279
2022-01-19,71.08,-0.0584180394906153
2022-01-20,66.6,-2.6186579378068675
2022-01-21,65.8,-0.4801920768307322
2022-01-24,67.93,1.2846803377563498
2022-01-25,62.43,-3.2751741797177436
2022-01-26,63.86,0.8803792402881205
2022-01-27,58.77,-3.106310264860246
2022-01-28,60.08,0.8250929016816899
2022-02-07,62.16,1.299350324837567
2022-02-08,62.23,0.043167242229902314
2022-02-09,64.51,1.4054120692843508
2022-02-10,61.61,-1.7628107713816843
2022-02-11,57.19,-2.7349792710847143
2022-02-14,57.87,0.4325974934792365
2022-02-15,63.02,3.2621777411794506
2022-02-16,65.25,1.3679303152987377
2022-02-17,66.31,0.6414523449319365
2022-02-18,65.95,-0.21646323131501166
2022-02-21,66.68,0.439891533594472
2022-02-22,64.7,-1.1879049676025932
2022-02-23,71.11,3.8919247115968503
2022-02-24,67.19,-2.2909239670387493
2022-02-25,69.8,1.5610981518033418
2022-02-28,69.75,-0.02944640753828054
2022-03-01,70.65,0.5301914580265077
2022-03-02,69.89,-0.44535599179608143
2022-03-03,67.09,-1.6481252575195726
2022-03-04,65.07,-1.2089293195283957
2022-03-07,59.73,-3.2349912158478267
2022-03-08,54.63,-3.1928879984974623
2022-03-09,52.09,-1.6426307960938913
2022-03-10,55.7,2.3735945821552917
2022-03-11,56.68,0.6294155427103432
2022-03-14,51.82,-3.1018636711769187
2022-03-15,44.0,-5.1508365169279475
2022-03-16,48.28,2.9722222222222427
2022-03-17,54.52,4.208254653358501
2022-03-18,54.91,0.25239451203726837
2022-03-21,56.53,1.0457685107481796
2022-03-22,55.61,-0.5877467578100148
2022-03-23,57.48,1.2017222543538209
2022-03-24,55.42,-1.3081026162052312
2022-03-25,54.19,-0.79140393771715
2022-03-28,52.84,-0.8755431610350861
2022-03-29,49.93,-1.9039518450667314
2022-03-30,54.7,3.181484692856662
2022-03-31,52.53,-1.402714932126703
2022-04-01,51.59,-0.6162722087458272
2022-04-06,50.22,-0.9037535457483981
2022-04-07,46.13,-2.72267341232858
2022-04-08,44.6,-1.0470129336891842
2022-04-11,38.01,-4.557399723374822
2022-04-12,40.15,1.5506122744728623
2022-04-13,35.86,-3.061006064930427
2022-04-14,36.63,0.5667598998969625
2022-04-15,35.8,-0.6074800556246762
2022-04-18,39.97,3.0706921944035237
2022-04-19,39.44,-0.3786525684075004
2022-04-20,37.26,-1.563396442914522
2022-04-21,31.47,-4.218271892758274
2022-04-22,28.92,-1.9396059937628274
2022-04-25,17.15,-9.129692832764514
2022-04-26,12.49,-3.977806231327352
2022-04-27,19.75,6.4539070139568055
2022-04-28,17.04,-2.2630480167014744
2022-04-29,23.55,5.562200956937824
2022-05-05,25.52,1.5944961554026582
2022-05-06,24.86,-0.5258126195028634
2022-05-09,26.28,1.137273746596179
2022-05-10,29.83,2.8112131770668514
2022-05-11,32.72,2.2259878302395286
